R,pi/3,pi/4,pi/5,pi/6
2.0,32838,33440,34260,36552
2.25,45954,47728,49580,51252
2.5,66810,67168,69530,72876
2.75,93330,95504,97720,98844
3.0,132066,133064,137520,138780
3.25,189816,189312,191740,193056
3.5,263430,265632,267840,271008
3.75,371838,369872,371360,375432
4.0,526410,526624,521840,532104
4.25,735510,732672,737280,744024
4.5,1029270,1029728,1022080,1028184
4.75,1449642,1441984,1442340,1452696
5.0,2020722,2012832,2002400,2011272
5.25,2806914,2812912,2802680,2809920
5.5,3948402,3958072,3927780,3949344
5.75,5509314,5497800,5490960,5490288
6.0,7648062,7604184,7620710,7603752
6.25,10730034,10691960,10686190,10662300
